id,timestamp,url,message_type,message_class,message_content
9220,1487348098529 ,/service/charting/chartbookdata ajax PUT,ERROR,[com.neusoft.saca.dataviz.charting.controller.ChartingController],Accessisdenied
9221,1487348128654 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
9228,1487348587975 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
9229,1487348685584 ,/service/charting/chartbooksinfo_ex/sample/10/0?category=%E9%9B%B6%E5%94%AE&auth=false GET,WARN,[org.hibernate.hql.internal.ast.HqlSqlWalker],"[DEPRECATION]Encounteredpositionalparameternearline1,column124.Positionalparameterareconsidereddeprecated;usenamedparametersorJPA-stylepositionalparametersinstead."
9230,1487348794707 ,/service/social/liking/2f7f873d-9ab3-441e-b0a4-f3162a96e841 POST,ERROR,[com.neusoft.chartsshow.books.controller.SocialController],请登录后再点赞\n
9231,1487348796471 ,/service/social/liking/2f7f873d-9ab3-441e-b0a4-f3162a96e841 POST,ERROR,[com.neusoft.chartsshow.books.controller.SocialController],请登录后再点赞\n
9242,1487349352407 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
9243,1487349390540 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
9244,1487349569502 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
9245,1487349570199 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
9260,1487349733850 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
