timestamp,value
1487290185232 ,100
1487290485243 ,100
1487290785245 ,100
1487291085255 ,100
1487291385264 ,100
1487291685275 ,100
1487291985285 ,100
1487292285287 ,100
1487292585297 ,100
1487292885308 ,100
1487293185314 ,100
1487293485319 ,100
1487293785330 ,100
1487294085341 ,100
1487294385351 ,100
1487294685353 ,100
1487294985364 ,100
1487295285372 ,100
1487295585379 ,100
1487295885387 ,100
1487296185396 ,100
1487296485407 ,100
1487296785413 ,100
1487297085434 ,100
1487297385431 ,20
1487297685445 ,6
1487297985446 ,5
1487298285453 ,23
1487298585466 ,12
1487298885474 ,1
1487299185480 ,9
1487299485492 ,8
1487299785501 ,1
1487300085504 ,8
1487300385523 ,8
1487300685525 ,10
1487300985529 ,10
1487301285538 ,9
1487301585546 ,0
1487301885557 ,20
1487302185563 ,2
1487302485571 ,6
1487302785579 ,11
1487303085593 ,6
1487303385595 ,10
1487303685603 ,8
1487303985632 ,9
1487304285627 ,11
1487304585630 ,1
1487304885637 ,10
1487305185646 ,5
1487305485656 ,2
1487305785665 ,5
1487306085672 ,4
1487306385678 ,2
1487306685689 ,3
1487306985696 ,3
1487307285703 ,3
1487307585712 ,4
1487307885723 ,5
1487308187162 ,4
1487308485739 ,1
1487308785749 ,4
1487309085755 ,3
1487309385761 ,2
1487309685771 ,4
1487309985778 ,5
1487310285787 ,1
1487310585799 ,2
1487310885805 ,8
1487311185812 ,8
1487311485820 ,7
1487311785832 ,6
1487312085837 ,6
1487312385847 ,7
1487312685856 ,39
1487312985862 ,8
1487313285873 ,9
1487313585886 ,10
1487313885916 ,10
1487314185896 ,9
1487314485903 ,10
1487314785954 ,10
1487315085922 ,11
1487315385929 ,7
1487315685939 ,8
1487315985946 ,11
1487316285955 ,9
1487316585964 ,10
1487316885971 ,7
1487317186009 ,8
1487317485990 ,8
1487317786004 ,9
1487318086005 ,9
1487318386013 ,24
1487318686024 ,7
1487318986029 ,8
1487319286037 ,10
1487319586050 ,6
1487319886055 ,7
1487320186094 ,7
1487320486074 ,9
1487320786078 ,2
1487321086089 ,9
1487321386100 ,10
1487321686105 ,8
1487321986116 ,7
1487322286124 ,11
1487322586133 ,9
1487322886162 ,7
1487323186148 ,6
1487323486205 ,7
1487323786170 ,7
1487324086174 ,7
1487324386180 ,6
1487324686189 ,7
1487324986199 ,3
1487325286207 ,6
1487325586214 ,3
1487325886221 ,4
1487326186239 ,6
1487326486237 ,4
1487326786257 ,3
1487327086552 ,3
1487327386266 ,2
1487327686275 ,2
1487327986280 ,2
1487328286295 ,3
1487328586296 ,1
1487328886308 ,2
1487329186337 ,1
1487329486367 ,2
1487329786329 ,1
1487330086340 ,1
1487330386352 ,3
1487330686355 ,2
1487330986373 ,1
1487331286374 ,1
1487331586396 ,1
1487331886390 ,2
1487332186399 ,2
1487332486410 ,1
1487332786413 ,4
1487333086422 ,3
1487333386428 ,4
1487333686441 ,4
1487333986451 ,2
1487334286455 ,1
1487334586467 ,2
1487334886471 ,1
1487335186483 ,2
1487335486500 ,1
1487335786497 ,1
1487336086511 ,1
1487336386514 ,1
1487336686521 ,2
1487336986553 ,1
1487337286542 ,3
1487337586554 ,1
1487337886554 ,2
1487338186563 ,2
1487338486571 ,1
1487338786582 ,2
1487339086594 ,2
1487339386598 ,1
1487339686603 ,2
1487339986614 ,2
1487340286623 ,2
1487340586632 ,3
1487340886639 ,4
1487341186646 ,3
1487341486655 ,3
1487341786664 ,1
1487342086672 ,1
1487342386679 ,2
1487342686688 ,2
1487342986700 ,2
1487343286708 ,4
1487343586713 ,2
1487343886722 ,2
1487344186732 ,2
1487344486738 ,2
1487344786746 ,1
1487345086755 ,3
1487345386764 ,2
1487345686775 ,2
1487345986783 ,2
1487346286792 ,1
1487346586801 ,2
1487346886806 ,1
1487347186816 ,2
1487347486824 ,1
1487347786835 ,2
1487348086840 ,1
1487348386850 ,1
1487348686945 ,1
1487348986957 ,1
1487349286960 ,1
1487349586969 ,0
1487349886978 ,2
1487350186989 ,1
1487350486994 ,1
1487350787004 ,1
1487351087012 ,2
1487351387020 ,1
1487351687030 ,0
1487351987036 ,0
1487352287045 ,1
1487352587054 ,1
1487352887061 ,1
1487353187070 ,0
1487353487078 ,1
1487353787101 ,0
1487354087094 ,0
1487354387106 ,0
1487354687111 ,0
1487354987121 ,0
1487355287129 ,1
1487355587052 ,2
1487355887057 ,1
1487356187064 ,1
1487356487072 ,1
1487356787080 ,1
1487357087094 ,1
1487357387097 ,0
1487357687107 ,1
1487357987114 ,1
1487358287125 ,0
1487358587133 ,1
1487358887143 ,0
1487359187151 ,1
1487359487157 ,1
1487359787164 ,1
1487360087172 ,0
1487360387189 ,1
1487360687189 ,1
1487360987202 ,0
1487361287533 ,0
1487361587222 ,1
1487361887226 ,0
1487362187231 ,0
1487362487239 ,0
1487362787247 ,0
1487363087256 ,0
1487363387265 ,0
1487363687273 ,0
1487363987284 ,1
1487364287290 ,0
1487364587297 ,0
1487364887306 ,0
1487365187315 ,0
1487365487322 ,0
1487365787334 ,0
1487366087342 ,0
1487366387348 ,0
1487366687357 ,0
1487366987365 ,0
1487367287373 ,0
1487367587380 ,0
1487367887390 ,0
1487368187401 ,1
1487368487406 ,1
1487368787415 ,0
1487369087426 ,0
1487369387432 ,0
1487369687439 ,0
1487369987448 ,0
1487370287457 ,0
1487370587469 ,0
1487370887475 ,0
1487371187483 ,0
1487371487495 ,0
1487371787498 ,0
1487372087809 ,0
1487372387516 ,0
1487372687523 ,0
1487372987531 ,0
1487373287539 ,0
1487373587548 ,0
1487373887559 ,0
1487374187564 ,0
1487374487574 ,0
1487374787581 ,0
1487375087590 ,0
1487375387611 ,0
1487375687606 ,0
1487375987618 ,0
1487376287624 ,1
1487376587632 ,0
1487376887641 ,1
1487377187668 ,5
1487377487659 ,1
1487377787665 ,1
1487378087693 ,2
1487378387681 ,1
1487378687693 ,1
1487378987701 ,1
1487379287707 ,1
1487379587715 ,1
1487379888032 ,1
1487380187738 ,3
1487380487755 ,1
1487380787748 ,1
1487381087757 ,3
1487381387765 ,1
1487381687790 ,1
1487381987794 ,2
1487382287804 ,1
1487382587799 ,0
1487382887812 ,2
1487383187814 ,1
1487383487829 ,1
1487383787839 ,0
1487384087840 ,1
1487384387870 ,1
1487384687865 ,1
1487384987868 ,4
1487385287877 ,5
1487385587881 ,3
1487385887919 ,6
1487386187903 ,3
1487386487909 ,2
1487386787916 ,2
1487387087930 ,1
1487387387933 ,2
1487387687942 ,3
1487387987952 ,3
1487388287956 ,4
1487388587968 ,4
1487388887975 ,2
1487389187982 ,3
1487389487994 ,4
1487389787999 ,3
1487390088008 ,2
1487390388022 ,1
1487390688026 ,3
1487390988037 ,5
1487391288045 ,2
1487391588057 ,4
1487391888058 ,3
1487392188067 ,4
1487392488098 ,1
1487392788109 ,1
1487393088095 ,2
1487393388101 ,2
1487393688108 ,1
1487393988119 ,0
1487394288125 ,2
1487394588132 ,8
1487394888141 ,3
1487395188148 ,4
1487395488157 ,7
1487395788165 ,3
1487396088175 ,3
1487396388192 ,4
1487396688190 ,11
1487396988238 ,2
1487397288209 ,1
1487397588219 ,3
1487397888226 ,3
1487398188232 ,5
1487398488241 ,2
1487398788251 ,2
1487399088262 ,2
1487399388267 ,3
1487399688274 ,3
1487399988309 ,4
1487400288295 ,2
1487400588327 ,3
1487400888324 ,4
1487401188315 ,2
1487401489539 ,2
1487401788341 ,4
1487402088342 ,3
1487402388352 ,3
1487402688372 ,2
1487402988373 ,4
1487403288409 ,4
1487403588383 ,2
1487403888398 ,2
1487404188407 ,4
1487404488415 ,4
1487404788417 ,2
1487405088425 ,4
1487405388433 ,6
1487405688442 ,3
1487405988481 ,2
1487406288460 ,4
1487406588469 ,3
1487406888479 ,3
1487407188501 ,3
1487407488493 ,3
1487407788500 ,2
1487408088510 ,2
1487408388524 ,3
1487408688530 ,5
1487408988532 ,6
1487409288541 ,3
1487409588550 ,5
1487409888558 ,3
1487410188566 ,3
1487410488591 ,3
1487410788583 ,5
1487411088635 ,3
1487411388611 ,4
1487411688609 ,3
1487411988622 ,2
1487412288625 ,3
1487412588633 ,5
1487412888641 ,0
1487413188658 ,2
1487413488657 ,3
1487413788670 ,1
1487414088681 ,2
1487414388683 ,3
1487414688692 ,2
1487414988700 ,4
1487415288721 ,2
1487415588721 ,5
1487415888748 ,1
1487416188775 ,3
1487416488745 ,2
1487416788750 ,2
1487417088759 ,2
1487417388767 ,1
