HTTP_SYSTEM_ERROR,activeThreads,clients,cpu,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
6,123,130,1,468,23694100000,0,65269,2,35529,37,32786,390,14,0,1,35054,65271,8368,7,0.08,142,123,668129,290,346059000,65901400,1855230000
6,172,130,1,517,23694100000,0,65306,2,35529,36,5556,384,14,0,1,35059,65308,8368,7,0.09,191,172,708260,290,371272000,65901400,1862000000
6,200,125,1,559,23694000000,0,65342,2,35529,37,8658,383,15,0,1,35052,65344,8368,7,0.03,218,200,609187,290,272909000,65901400,1849890000
6,200,125,1,589,23694000000,0,65379,2,35529,37,152131,387,16,0,1,35061,65381,8368,7,0.01,218,200,609518,290,300690000,65901400,1850470000
6,4,120,2,355,23691800000,0,65416,2,35529,309,126966,391,17,87.055,1,35066,65418,8368,7,0,218,4,3520840,290,354955000,65901400,1854230000
6,60,120,0,445,23691700000,0,65758,4,35796,9,4917,379,17,0,1,35328,65762,8372,7,0,114,61,171296,290,270285000,65939800,1840700000
6,82,115,2,472,23691700000,0,65776,4,35796,21,4064,360,17,0,1,35326,65780,8824,7,0.05,115,83,1530590,290,369137000,69311700,1853860000
6,128,115,1,513,23691600000,0,65797,4,35796,38,2263,348,17,0,1,35327,65801,8824,7,0.02,148,128,979475,290,273265000,69320800,1857630000
6,146,110,1,495,23691500000,0,65835,4,35796,40,4456,330,17,0,1,35333,65839,8824,7,0.01,168,146,813542,290,296973000,69330900,1860620000
6,184,110,1,531,23691500000,0,65875,4,35796,39,3276,332,18,0,1,35334,65879,8824,7,0.06,204,184,840351,290,325719000,69346700,1853300000
6,196,105,1,548,23691400000,0,65914,4,35796,40,4531,334,19,0,1,35336,65918,8824,7,0.02,219,196,731043,290,352828000,69346100,1855620000
