"node0","node1","node2","node3","node4","node5","node6","node7","node8","node9","node10","node11","node12","node13","node14","node15","node16","node17","node18","node19","node20","node21","node22","node23","node24","node25","node26","node27","node28","node29","node30","node31","node32","node33","node34","node35","node36","node37","node38","node39","node40","node41","node42","node43","node44","node45","node46","node47","node48","node49"
"1571.0","840.0","1224.0","0.0","240.0","180.0","180.0","168.0","149.0","181.0","154.0","107.0","106.0","90.0","92.0","92.0","91.0","91.0","90.0","0.0","36.0","35.0","21.0","35.0","28.0","42.0","22.0","18.0","16.0","0.0","24.0","8.0","0.0","8.0","8.0","17.0","12.0","14.0","0.0","0.0","1.0","7.0","7.0","0.0","6.0","2.0","0.0","2.0","7.0","0.0"
"1273.0","894.0","680.0","0.0","150.0","132.0","130.0","87.0","91.0","120.0","111.0","62.0","62.0","69.0","91.0","88.0","89.0","89.0","88.0","0.0","29.0","25.0","49.0","31.0","21.0","32.0","8.0","38.0","31.0","0.0","30.0","6.0","0.0","5.0","5.0","26.0","20.0","20.0","0.0","2.0","9.0","20.0","104.0","0.0","0.0","2.0","0.0","5.0","3.0","0.0"
"910.0","623.0","636.0","0.0","190.0","141.0","142.0","98.0","134.0","97.0","104.0","72.0","72.0","92.0","34.0","34.0","34.0","34.0","34.0","0.0","35.0","22.0","10.0","27.0","21.0","35.0","13.0","10.0","9.0","0.0","13.0","0.0","0.0","4.0","3.0","10.0","9.0","8.0","0.0","8.0","0.0","12.0","10.0","0.0","7.0","2.0","0.0","2.0","5.0","2.0"
"499.0","107.0","588.0","0.0","117.0","78.0","78.0","73.0","70.0","54.0","66.0","32.0","32.0","52.0","21.0","20.0","20.0","20.0","20.0","0.0","17.0","10.0","6.0","16.0","14.0","22.0","4.0","5.0","3.0","0.0","8.0","4.0","0.0","5.0","5.0","7.0","4.0","4.0","0.0","5.0","0.0","1.0","5.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0"
"135.0","28.0","148.0","0.0","26.0","46.0","46.0","55.0","19.0","13.0","40.0","8.0","8.0","10.0","10.0","10.0","10.0","10.0","10.0","0.0","6.0","3.0","2.0","11.0","6.0","2.0","0.0","2.0","2.0","0.0","3.0","0.0","0.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"149.0","0.0","98.0","0.0","21.0","26.0","26.0","43.0","10.0","20.0","24.0","10.0","10.0","9.0","12.0","12.0","12.0","12.0","12.0","0.0","6.0","7.0","2.0","5.0","4.0","0.0","0.0","2.0","4.0","0.0","2.0","0.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"214.0","0.0","392.0","0.0","41.0","8.0","8.0","49.0","23.0","13.0","17.0","13.0","13.0","26.0","7.0","7.0","7.0","7.0","7.0","0.0","8.0","5.0","0.0","3.0","8.0","19.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"28.0","0.0","0.0","0.0","6.0","18.0","18.0","42.0","4.0","2.0","13.0","0.0","0.0","4.0","4.0","4.0","4.0","4.0","4.0","0.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"52.0","0.0","49.0","0.0","10.0","10.0","10.0","27.0","4.0","5.0","8.0","3.0","3.0","5.0","6.0","6.0","6.0","6.0","6.0","0.0","2.0","1.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"61.0","0.0","0.0","0.0","0.0","2.0","0.0","16.0","0.0","14.0","0.0","0.0","0.0","0.0","9.0","9.0","9.0","9.0","9.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"261.0","109.0","49.0","0.0","14.0","0.0","0.0","27.0","9.0","34.0","4.0","10.0","10.0","7.0","28.0","28.0","28.0","28.0","28.0","0.0","4.0","3.0","0.0","0.0","2.0","0.0","3.0","0.0","0.0","0.0","7.0","3.0","0.0","0.0","0.0","4.0","4.0","4.0","0.0","12.0","4.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0"
"1282.0","503.0","474.0","198.0","77.0","56.0","54.0","88.0","46.0","147.0","52.0","53.0","53.0","39.0","124.0","121.0","121.0","121.0","121.0","18.0","22.0","16.0","27.0","10.0","16.0","9.0","8.0","20.0","18.0","0.0","22.0","5.0","0.0","3.0","3.0","18.0","17.0","14.0","0.0","5.0","3.0","19.0","3.0","2.0","0.0","6.0","2.0","4.0","2.0","0.0"
"3977.0","1858.0","2199.0","712.0","392.0","182.0","181.0","203.0","250.0","380.0","182.0","188.0","188.0","164.0","230.0","222.0","223.0","223.0","223.0","60.0","77.0","76.0","56.0","45.0","53.0","35.0","41.0","41.0","45.0","0.0","76.0","6.0","0.0","11.0","11.0","66.0","67.0","63.0","0.0","7.0","15.0","25.0","10.0","10.0","14.0","13.0","16.0","5.0","4.0","9.0"
"3437.0","1570.0","2402.0","660.0","474.0","224.0","224.0","280.0","294.0","323.0","223.0","188.0","187.0","216.0","183.0","178.0","178.0","178.0","178.0","60.0","93.0","59.0","46.0","49.0","66.0","121.0","26.0","33.0","31.0","0.0","62.0","14.0","0.0","12.0","12.0","62.0","54.0","53.0","5.0","0.0","9.0","7.0","10.0","8.0","10.0","7.0","14.0","4.0","13.0","4.0"
"2091.0","1055.0","735.0","660.0","269.0","283.0","283.0","221.0","169.0","226.0","215.0","116.0","116.0","126.0","112.0","110.0","110.0","110.0","110.0","60.0","43.0","36.0","25.0","63.0","26.0","101.0","35.0","19.0","18.0","0.0","42.0","4.0","0.0","17.0","17.0","30.0","20.0","25.0","3.0","0.0","0.0","11.0","11.0","12.0","9.0","7.0","5.0","6.0","5.0","2.0"
"1335.0","704.0","637.0","660.0","197.0","120.0","118.0","125.0","123.0","156.0","136.0","86.0","86.0","80.0","80.0","79.0","79.0","79.0","79.0","60.0","41.0","33.0","38.0","30.0","25.0","115.0","14.0","6.0","7.0","0.0","27.0","10.0","0.0","12.0","12.0","20.0","17.0","27.0","0.0","19.0","5.0","1.0","12.0","2.0","0.0","0.0","2.0","2.0","6.0","2.0"
"2352.0","1865.0","1123.0","660.0","351.0","206.0","205.0","188.0","240.0","288.0","266.0","196.0","192.0","146.0","113.0","110.0","110.0","110.0","110.0","60.0","67.0","73.0","35.0","55.0","40.0","58.0","32.0","22.0","24.0","16.0","25.0","20.0","10.0","10.0","9.0","17.0","16.0","13.0","0.0","6.0","5.0","12.0","3.0","13.0","9.0","9.0","0.0","4.0","7.0","2.0"
"5599.0","3864.0","3332.0","660.0","778.0","371.0","373.0","398.0","497.0","450.0","433.0","371.0","369.0","334.0","147.0","141.0","141.0","141.0","141.0","60.0","170.0","130.0","159.0","92.0","115.0","95.0","92.0","59.0","63.0","12.0","40.0","42.0","9.0","21.0","22.0","34.0","39.0","21.0","31.0","1.0","23.0","6.0","11.0","10.0","22.0","20.0","16.0","8.0","16.0","14.0"
"5073.0","3636.0","2157.0","660.0","701.0","380.0","380.0","402.0","463.0","433.0","366.0","352.0","351.0","331.0","134.0","132.0","131.0","131.0","131.0","60.0","134.0","134.0","109.0","82.0","80.0","62.0","94.0","81.0","83.0","2.0","16.0","40.0","0.0","18.0","18.0","11.0","8.0","9.0","0.0","15.0","48.0","26.0","13.0","23.0","13.0","11.0","15.0","19.0","16.0","15.0"
"4947.0","3075.0","2886.0","660.0","788.0","392.0","392.0","468.0","508.0","405.0","435.0","327.0","327.0","316.0","129.0","125.0","125.0","125.0","125.0","60.0","138.0","126.0","82.0","90.0","91.0","97.0","81.0","37.0","45.0","9.0","34.0","30.0","4.0","28.0","27.0","17.0","14.0","19.0","99.0","14.0","15.0","18.0","13.0","15.0","12.0","27.0","9.0","14.0","14.0","14.0"
"2641.0","1591.0","1274.0","660.0","409.0","228.0","228.0","329.0","300.0","248.0","200.0","194.0","193.0","198.0","83.0","82.0","82.0","82.0","82.0","60.0","71.0","87.0","34.0","52.0","41.0","64.0","50.0","31.0","32.0","14.0","14.0","10.0","11.0","19.0","19.0","16.0","16.0","11.0","190.0","1.0","28.0","7.0","15.0","18.0","4.0","6.0","8.0","8.0","6.0","8.0"
"1197.0","1249.0","874.0","660.0","199.0","82.0","82.0","189.0","124.0","114.0","94.0","89.0","89.0","88.0","39.0","38.0","38.0","38.0","38.0","60.0","37.0","45.0","23.0","21.0","28.0","37.0","23.0","20.0","19.0","24.0","6.0","6.0","17.0","11.0","11.0","9.0","4.0","4.0","0.0","5.0","0.0","4.0","5.0","8.0","0.0","6.0","2.0","2.0","5.0","6.0"
"1170.0","1281.0","637.0","660.0","161.0","104.0","104.0","155.0","101.0","117.0","105.0","89.0","88.0","54.0","50.0","47.0","47.0","47.0","47.0","60.0","36.0","48.0","283.0","26.0","21.0","25.0","20.0","10.0","6.0","24.0","8.0","2.0","16.0","7.0","7.0","4.0","4.0","5.0","0.0","4.0","4.0","5.0","2.0","6.0","8.0","2.0","7.0","0.0","3.0","4.0"
"1126.0","594.0","745.0","660.0","177.0","155.0","155.0","109.0","115.0","89.0","142.0","70.0","70.0","85.0","43.0","41.0","41.0","41.0","41.0","60.0","41.0","30.0","40.0","36.0","29.0","15.0","12.0","6.0","7.0","24.0","5.0","13.0","17.0","4.0","4.0","7.0","7.0","4.0","1.0","0.0","8.0","0.0","9.0","0.0","0.0","4.0","6.0","0.0","3.0","2.0"
"1432.0","848.0","883.0","659.0","149.0","113.0","113.0","133.0","95.0","128.0","126.0","95.0","95.0","53.0","66.0","64.0","64.0","64.0","64.0","60.0","44.0","40.0","23.0","23.0","29.0","25.0","18.0","20.0","20.0","24.0","7.0","7.0","16.0","6.0","6.0","8.0","4.0","4.0","2.0","0.0","1.0","5.0","8.0","2.0","8.0","4.0","4.0","2.0","2.0","0.0"
"2071.0","1231.0","1020.0","660.0","219.0","88.0","84.0","107.0","141.0","129.0","119.0","101.0","101.0","88.0","37.0","37.0","37.0","37.0","37.0","60.0","45.0","33.0","22.0","27.0","24.0","40.0","42.0","11.0","11.0","24.0","7.0","15.0","17.0","5.0","5.0","4.0","2.0","7.0","3.0","24.0","0.0","38.0","4.0","11.0","4.0","6.0","7.0","12.0","3.0","6.0"
"1493.0","1009.0","1168.0","660.0","205.0","100.0","100.0","121.0","126.0","106.0","118.0","79.0","79.0","93.0","37.0","35.0","35.0","35.0","35.0","60.0","44.0","31.0","11.0","26.0","33.0","42.0","20.0","11.0","8.0","24.0","6.0","10.0","16.0","2.0","2.0","4.0","4.0","4.0","0.0","11.0","3.0","5.0","4.0","2.0","5.0","2.0","9.0","4.0","1.0","6.0"
"408.0","281.0","244.0","660.0","42.0","42.0","42.0","46.0","24.0","36.0","40.0","22.0","22.0","19.0","21.0","19.0","19.0","19.0","19.0","60.0","10.0","13.0","8.0","7.0","6.0","8.0","8.0","5.0","5.0","24.0","8.0","2.0","16.0","3.0","3.0","2.0","2.0","2.0","0.0","46.0","3.0","5.0","0.0","0.0","0.0","2.0","0.0","0.0","4.0","0.0"
"187.0","168.0","147.0","660.0","26.0","36.0","36.0","24.0","16.0","17.0","32.0","13.0","13.0","10.0","5.0","5.0","5.0","5.0","5.0","60.0","6.0","9.0","2.0","8.0","6.0","5.0","0.0","2.0","2.0","24.0","1.0","0.0","16.0","0.0","0.0","3.0","0.0","17.0","0.0","5.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0"
"317.0","181.0","196.0","660.0","30.0","38.0","38.0","22.0","18.0","15.0","32.0","13.0","13.0","10.0","5.0","5.0","5.0","5.0","5.0","60.0","5.0","3.0","0.0","9.0","4.0","0.0","2.0","0.0","0.0","24.0","4.0","4.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","6.0","0.0"
"7.0","144.0","0.0","660.0","0.0","24.0","24.0","12.0","0.0","0.0","16.0","0.0","0.0","0.0","3.0","3.0","3.0","3.0","3.0","60.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","24.0","0.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"25.0","144.0","0.0","660.0","0.0","24.0","24.0","12.0","0.0","0.0","16.0","0.0","0.0","0.0","6.0","6.0","6.0","6.0","6.0","60.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","24.0","0.0","0.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"135.0","166.0","147.0","660.0","22.0","28.0","28.0","16.0","14.0","11.0","24.0","8.0","8.0","8.0","7.0","6.0","6.0","7.0","6.0","60.0","6.0","3.0","2.0","6.0","6.0","6.0","2.0","0.0","0.0","24.0","0.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","3.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"71.0","304.0","49.0","660.0","34.0","28.0","28.0","16.0","23.0","12.0","22.0","12.0","12.0","13.0","1.0","1.0","1.0","1.0","1.0","60.0","2.0","2.0","0.0","5.0","2.0","2.0","2.0","0.0","2.0","24.0","0.0","0.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","4.0","0.0","0.0","2.0","0.0","0.0"
"479.0","287.0","147.0","660.0","34.0","32.0","32.0","33.0","23.0","43.0","36.0","33.0","33.0","8.0","15.0","13.0","14.0","14.0","14.0","60.0","12.0","8.0","4.0","7.0","6.0","2.0","2.0","3.0","3.0","24.0","0.0","2.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","6.0","29.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0"
"758.0","479.0","245.0","660.0","53.0","68.0","68.0","50.0","39.0","68.0","49.0","49.0","49.0","16.0","36.0","34.0","34.0","34.0","34.0","60.0","25.0","25.0","16.0","12.0","10.0","2.0","8.0","13.0","13.0","24.0","6.0","2.0","16.0","4.0","3.0","4.0","4.0","4.0","1.0","0.0","2.0","5.0","2.0","2.0","4.0","2.0","0.0","2.0","3.0","0.0"
"1880.0","1475.0","1101.0","660.0","249.0","158.0","158.0","184.0","157.0","172.0","145.0","131.0","131.0","124.0","55.0","53.0","53.0","53.0","53.0","60.0","53.0","60.0","39.0","33.0","41.0","13.0","33.0","34.0","32.0","24.0","8.0","10.0","16.0","8.0","8.0","11.0","6.0","6.0","0.0","1.0","20.0","2.0","6.0","4.0","10.0","4.0","0.0","10.0","5.0","4.0"
"1838.0","1310.0","931.0","660.0","244.0","148.0","148.0","174.0","150.0","154.0","147.0","125.0","124.0","88.0","75.0","72.0","72.0","72.0","72.0","60.0","56.0","51.0","126.0","26.0","36.0","33.0","33.0","27.0","29.0","24.0","15.0","17.0","16.0","11.0","11.0","14.0","12.0","15.0","3.0","0.0","13.0","4.0","4.0","17.0","6.0","2.0","4.0","2.0","3.0","2.0"
"1228.0","1478.0","881.0","660.0","213.0","136.0","136.0","151.0","134.0","113.0","114.0","92.0","92.0","89.0","35.0","34.0","34.0","34.0","34.0","60.0","56.0","33.0","47.0","28.0","36.0","24.0","24.0","33.0","36.0","24.0","12.0","7.0","17.0","6.0","6.0","10.0","4.0","4.0","0.0","0.0","4.0","5.0","3.0","3.0","4.0","0.0","5.0","3.0","3.0","7.0"
"1921.0","1446.0","882.0","660.0","228.0","179.0","179.0","179.0","151.0","168.0","155.0","134.0","134.0","92.0","56.0","55.0","54.0","55.0","55.0","60.0","54.0","60.0","39.0","38.0","34.0","24.0","34.0","17.0","18.0","24.0","17.0","16.0","16.0","11.0","11.0","9.0","8.0","10.0","0.0","0.0","9.0","1.0","14.0","10.0","4.0","6.0","0.0","0.0","2.0","2.0"
"1697.0","1211.0","1460.0","660.0","279.0","260.0","261.0","237.0","190.0","165.0","211.0","136.0","135.0","112.0","52.0","53.0","53.0","53.0","54.0","60.0","68.0","50.0","26.0","50.0","51.0","24.0","16.0","21.0","18.0","24.0","8.0","17.0","17.0","12.0","12.0","9.0","8.0","8.0","9.0","8.0","4.0","3.0","8.0","9.0","6.0","11.0","0.0","2.0","2.0","0.0"
"1335.0","827.0","1221.0","660.0","250.0","192.0","192.0","217.0","158.0","144.0","173.0","100.0","100.0","118.0","48.0","47.0","47.0","47.0","47.0","60.0","47.0","40.0","16.0","41.0","35.0","136.0","26.0","15.0","17.0","24.0","15.0","11.0","17.0","13.0","13.0","5.0","8.0","4.0","0.0","0.0","4.0","7.0","7.0","4.0","4.0","2.0","0.0","6.0","2.0","4.0"
"2093.0","1019.0","2040.0","660.0","336.0","222.0","222.0","232.0","212.0","206.0","223.0","164.0","164.0","133.0","69.0","71.0","70.0","69.0","70.0","60.0","75.0","65.0","8.0","45.0","52.0","26.0","31.0","7.0","8.0","24.0","23.0","18.0","16.0","11.0","11.0","11.0","12.0","13.0","44.0","5.0","2.0","11.0","4.0","6.0","4.0","6.0","8.0","12.0","5.0","2.0"
"1354.0","1054.0","686.0","660.0","188.0","198.0","198.0","203.0","122.0","127.0","165.0","96.0","96.0","78.0","35.0","34.0","34.0","34.0","34.0","60.0","45.0","30.0","21.0","41.0","28.0","22.0","21.0","19.0","13.0","24.0","13.0","11.0","16.0","8.0","8.0","8.0","6.0","16.0","0.0","4.0","0.0","10.0","4.0","6.0","4.0","9.0","2.0","2.0","1.0","4.0"
"1628.0","1049.0","488.0","660.0","153.0","123.0","124.0","162.0","103.0","127.0","119.0","98.0","97.0","47.0","43.0","43.0","43.0","43.0","43.0","60.0","33.0","32.0","11.0","24.0","18.0","12.0","21.0","8.0","8.0","24.0","8.0","6.0","17.0","15.0","15.0","9.0","4.0","6.0","4.0","0.0","2.0","0.0","0.0","4.0","4.0","6.0","0.0","0.0","2.0","2.0"
"1141.0","1099.0","637.0","660.0","201.0","114.0","114.0","167.0","130.0","95.0","120.0","73.0","73.0","78.0","41.0","39.0","39.0","39.0","39.0","60.0","35.0","22.0","6.0","23.0","24.0","22.0","19.0","4.0","4.0","24.0","3.0","7.0","17.0","3.0","3.0","2.0","2.0","2.0","0.0","0.0","2.0","1.0","1.0","6.0","4.0","0.0","2.0","5.0","2.0","2.0"
"1036.0","484.0","771.0","660.0","171.0","126.0","126.0","128.0","106.0","113.0","122.0","78.0","78.0","61.0","52.0","50.0","50.0","50.0","50.0","60.0","39.0","35.0","19.0","28.0","26.0","19.0","14.0","11.0","13.0","24.0","3.0","4.0","16.0","9.0","9.0","0.0","0.0","0.0","4.0","0.0","1.0","4.0","1.0","0.0","0.0","2.0","4.0","0.0","0.0","0.0"
"1436.0","827.0","882.0","660.0","183.0","168.0","168.0","177.0","108.0","122.0","132.0","95.0","95.0","75.0","57.0","55.0","55.0","55.0","55.0","60.0","40.0","34.0","21.0","30.0","29.0","40.0","14.0","15.0","15.0","24.0","17.0","11.0","16.0","5.0","5.0","10.0","8.0","11.0","20.0","5.0","3.0","9.0","6.0","2.0","2.0","2.0","2.0","4.0","3.0","4.0"
"2139.0","1198.0","983.0","660.0","294.0","215.0","217.0","201.0","181.0","184.0","199.0","140.0","139.0","98.0","59.0","54.0","54.0","54.0","54.0","60.0","61.0","51.0","26.0","47.0","36.0","19.0","25.0","24.0","25.0","24.0","21.0","16.0","17.0","6.0","6.0","21.0","15.0","15.0","0.0","0.0","3.0","2.0","5.0","11.0","0.0","0.0","10.0","8.0","3.0","8.0"
"1524.0","1145.0","883.0","660.0","284.0","182.0","180.0","173.0","188.0","168.0","193.0","141.0","139.0","120.0","43.0","43.0","43.0","43.0","43.0","60.0","59.0","44.0","6.0","42.0","31.0","31.0","28.0","5.0","5.0","24.0","8.0","17.0","16.0","12.0","12.0","2.0","0.0","0.0","2.0","0.0","2.0","0.0","8.0","11.0","0.0","0.0","5.0","2.0","6.0","2.0"
"1075.0","996.0","824.0","660.0","167.0","186.0","186.0","103.0","105.0","108.0","150.0","87.0","87.0","70.0","35.0","33.0","33.0","33.0","33.0","60.0","39.0","24.0","10.0","36.0","34.0","12.0","12.0","7.0","7.0","24.0","2.0","7.0","17.0","3.0","3.0","2.0","0.0","0.0","2.0","3.0","4.0","4.0","1.0","4.0","3.0","0.0","2.0","0.0","4.0","2.0"
"437.0","463.0","147.0","660.0","51.0","52.0","52.0","72.0","33.0","43.0","43.0","29.0","29.0","21.0","23.0","22.0","22.0","22.0","22.0","60.0","6.0","10.0","0.0","9.0","6.0","9.0","6.0","0.0","0.0","24.0","2.0","4.0","16.0","4.0","4.0","2.0","2.0","2.0","0.0","9.0","0.0","6.0","0.0","2.0","2.0","0.0","0.0","2.0","2.0","2.0"
"309.0","331.0","196.0","660.0","32.0","42.0","40.0","33.0","20.0","20.0","31.0","14.0","14.0","13.0","16.0","15.0","15.0","15.0","15.0","60.0","10.0","4.0","6.0","7.0","8.0","7.0","6.0","4.0","4.0","24.0","7.0","2.0","17.0","2.0","2.0","4.0","5.0","4.0","0.0","7.0","0.0","8.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0","2.0"
"149.0","183.0","147.0","660.0","24.0","56.0","56.0","28.0","13.0","16.0","47.0","12.0","12.0","10.0","7.0","7.0","7.0","7.0","7.0","60.0","7.0","5.0","0.0","12.0","5.0","3.0","4.0","0.0","0.0","24.0","0.0","0.0","16.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
