cpu,session_count,thread_count,used_memory,client
2,3356,59,272987184,586
2,3327,86,228007560,596
2,3271,80,241358368,600
2,3317,78,218909472,600
1,3290,47,276008568,600
2,3244,54,129995008,600
3,3236,102,187111352,600
2,3193,45,138663560,600
1,3076,24,186699272,600
3,2998,39,138456544,600
2,2925,56,210388592,600
2,2852,44,210696600,600
3,2817,58,136134544,600
2,2788,59,142886016,600
3,2815,63,206885520,600
2,2795,36,141401432,600
3,2688,67,203381232,600
1,2553,80,213648760,600
2,2463,134,201663920,600
1,2387,6,199364312,600
1,2283,61,185285336,600
1,2223,74,152666904,600
2,2187,105,167380632,600
1,2079,38,220474256,600
2,2043,133,184608088,600
3,2049,157,170410448,600
2,2033,119,243717392,600
2,1876,82,239246776,600
2,1840,73,206717112,600
2,1813,60,193320648,600
1,1704,60,237889832,600
1,1667,49,191979960,600
1,1642,13,201387568,600
1,1584,54,242314832,600
1,1513,40,253509696,600
1,1453,27,196152320,600
2,1393,131,249877992,600
2,1344,44,248789368,600
2,1355,97,243947960,600
3,1344,49,225416624,600
0,1311,34,187692608,600
1,1283,59,193672344,600
0,1226,56,232611600,600
0,1163,36,191915312,600
1,1113,42,203883600,600
2,1080,54,243502400,600
2,1040,59,216538056,600
3,1076,82,251893856,600
2,1076,61,234386656,600
2,1079,49,206817968,600
3,1158,86,218203200,600
2,1162,48,251409328,600
2,1159,81,246521336,600
2,1201,33,274531920,600
2,1210,43,222054048,600
2,1207,78,255544576,600
2,1198,43,240797456,600
1,1184,75,263063352,600
2,1191,41,225468024,600
1,1145,12,282025016,600
2,1172,51,262058800,600
3,1206,33,255401120,600
2,1224,47,226259312,600
0,1209,56,266956496,600
1,1196,75,268246328,600
3,1212,42,177582528,600
2,1244,61,149183896,600
1,1223,59,163701352,600
1,1220,68,168469344,600
2,1206,70,226920864,600
2,1227,78,210397760,600
1,1249,10,222181992,600
2,1285,76,171994296,600
1,1289,49,236191576,600
0,1284,51,183612224,600
0,1247,67,212450368,600
2,1265,87,163006184,600
2,1273,53,233412704,600
2,1273,52,186753384,600
1,1246,18,179202680,600
1,1217,36,168192944,600
1,1215,62,205499032,600
2,1240,63,207623576,600
2,1269,54,229099816,600
2,1262,67,217766432,600
1,1264,42,232782832,600
1,1249,113,222931408,600
1,1253,103,178296352,600
1,1266,42,174375880,600
1,1293,60,241869416,600
1,1310,71,247603216,600
2,1301,35,212868496,600
0,1259,51,179214600,600
2,1278,49,248301112,600
1,1287,48,176818048,600
3,1263,9,234155576,600
1,1245,87,209538552,600
1,1238,78,214408496,600
0,1234,69,258157888,600
0,1203,60,226310920,600
2,1221,152,241904776,600
2,1219,57,232583512,600
2,1222,50,194823016,600
1,1230,13,208330136,600
2,1263,49,245126632,600
2,1314,66,235190912,600
2,1358,78,206036080,600
0,1306,58,253327344,600
0,1268,21,216186528,600
1,1280,47,278495576,600
1,1265,53,250599008,600
1,1237,47,247817480,600
1,1197,35,252493688,600
2,1219,61,220267488,600
2,1194,52,272601216,600
0,1139,35,208248184,600
0,1120,36,258130168,600
0,1090,17,197847240,600
1,1068,60,275184328,600
2,1075,112,242720704,600
2,1102,71,246474920,600
2,1087,41,282909608,600
2,1108,47,230329304,600
1,1113,45,280891632,600
2,1146,57,251971632,600
2,1148,30,254166816,600
2,1169,6,291260168,600
1,1142,6,225859592,600
1,1125,6,282266472,600
1,1108,6,226068016,600
1,1081,16,251631072,600
7,1080,54,184293288,600
2,1094,53,140358296,600
2,1104,59,220136344,600
1,1085,55,211300112,600
1,1082,61,183766024,600
1,1063,66,218987040,600
1,1057,37,225511936,600
2,1086,49,173990952,600
3,1108,22,193262808,600
1,1082,67,157239760,600
1,1100,146,158251768,600
0,1097,60,216164000,600
1,1112,61,186249040,600
1,1076,63,220921264,600
0,1067,62,168528568,600
1,1077,100,149870600,600
2,1122,73,218084976,600
1,1159,69,181923200,600
0,1140,22,212565472,600
1,1102,13,217208824,600
2,1124,45,216198232,600
2,1125,54,181566520,600
2,1153,40,245683672,600
2,1132,56,198087024,600
0,1077,38,243435280,600
0,1053,53,197674792,600
2,1082,78,211247784,600
2,1129,66,171766840,600
1,1154,74,209385584,600
1,1185,35,201669264,600
1,1187,16,172263448,600
2,1201,58,221892944,600
1,1144,22,228879744,600
1,1145,30,218181256,600
1,1134,71,209880536,600
1,1124,107,250646272,600
1,1128,88,256606024,600
2,1191,157,188942624,600
1,1179,51,224382872,600
2,1222,94,230346112,600
1,1247,39,268686912,600
2,1294,51,210905672,600
2,1341,52,246693192,600
1,1291,91,233309240,600
2,1351,47,236756328,600
1,1370,62,199733896,600
2,1401,35,226009064,600
2,1420,45,240550024,600
2,1433,68,213054768,600
1,1445,56,253965488,600
2,1471,89,273314328,600
2,1483,65,287671608,600
1,1458,34,265186552,600
2,1431,28,207732368,600
1,1419,13,251988400,600
2,1471,135,282823256,600
2,1458,38,290817880,600
3,1436,55,301098200,600
3,1409,6,298178392,600
6,1462,114,201099704,590
1,1483,106,162677608,580
2,1517,112,161754512,580
2,1548,39,196001816,560
2,1576,36,158274576,560
1,1591,11,162583944,550
1,1584,86,157136080,540
2,1616,30,167237800,530
2,1624,74,208962856,520
2,1625,84,152316072,510
2,1605,68,213941384,500
2,1614,57,186861176,490
2,1611,70,172696368,480
1,1538,48,162255064,470
2,1550,107,245769888,460
0,1512,34,173615704,450
1,1475,94,242413584,440
1,1480,10,216447480,430
2,1483,37,200832104,420
2,1486,59,204834024,410
2,1502,91,214587184,400
2,1503,39,211784168,390
2,1519,137,254148800,380
2,1524,45,243858872,370
2,1537,40,174884232,360
2,1570,84,210773768,350
2,1584,45,176416960,340
1,1584,84,194713688,330
2,1627,42,249991320,320
1,1646,76,251239536,310
2,1643,53,194832912,300
2,1646,45,257991144,290
2,1706,115,224767120,290
1,1644,37,257392936,280
1,1599,43,275880952,260
2,1628,80,200138696,260
1,1669,34,216930784,250
1,1654,17,254901096,240
1,1640,77,248024456,230
1,1604,42,237272360,220
1,1592,84,269728928,210
2,1600,77,287277352,200
0,1583,60,251646696,190
2,1602,60,217356664,180
2,1615,103,245396096,170
2,1666,45,262813160,160
1,1679,31,247620440,150
2,1704,44,216614504,140
0,1657,41,283554952,130
1,1616,40,279710936,120
1,1575,60,262543752,110
1,1530,43,214513592,100
0,1478,34,285305008,90
1,1403,31,256959384,80
2,1412,19,306305736,70
4,1447,50,252789752,60
