clients,cpu,httpMeanTimes,threadCount,usedMemory,httpSessions
96,3,345,30,84499700,1815
106,3,337,30,88272600,1855
116,3,842,30,97848800,1857
126,3,434,30,111287000,1866
136,4,115,30,84495200,1882
146,4,634,32,102083000,1936
156,4,384,32,86168700,1979
166,4,678,32,68925900,1991
176,4,580,32,84390200,2020
186,4,945,32,63524400,2057
196,7,1196,34,81427900,2070
206,3,823,34,64318700,2073
216,3,523,43,84783300,2082
226,3,455,45,92572100,2098
236,3,572,45,74954300,2124
246,3,768,46,84205700,2134
256,3,255,48,98047200,2153
266,2,731,48,87266300,2180
276,3,151,49,85252400,2229
286,3,553,49,98605100,2240
296,4,625,50,96640600,2264
306,4,369,50,99203400,2272
316,3,484,50,103422000,2281
326,3,677,50,86309700,2294
336,3,724,52,72139200,2268
346,2,240,52,78851300,2268
356,1,112,52,82989100,2226
366,3,339,55,75247600,2200
376,2,1284,55,80350600,2204
386,2,1284,55,80350600,2204
396,1,62,55,105509000,2181
406,1,330,55,103210000,2150
416,3,300,61,111785000,2203
426,2,120,61,94247300,2222
436,2,135,62,111824000,2257
446,4,318,66,110374000,2352
456,3,799,66,119869000,2404
466,5,303,66,93853100,2538
476,2,926,66,87709400,2551
486,4,391,67,129513000,2619
496,3,1058,67,116674000,2671
506,3,323,68,117845000,2726
516,4,493,74,110056000,2809
526,2,612,75,132861000,2829
536,3,392,75,107455000,2867
546,3,410,75,156787000,2917
556,2,276,76,152854000,2930
566,5,166,77,155004000,3020
576,2,647,77,152276000,2989
586,2,178,77,139152000,2963
596,2,179,77,165790000,2909
600,2,179,77,165790000,2909
600,2,267,77,154601000,2922
600,3,203,77,136069000,2978
600,2,217,77,111642000,2997
600,2,162,77,123303000,3013
600,2,149,77,155024000,3042
600,2,119,77,157536000,3052
600,1,119,77,143712000,2982
600,1,88,77,135191000,2934
600,3,267,77,118273000,2961
600,2,121,77,136856000,2957
600,2,70,77,163982000,2897
600,2,421,79,134280000,2865
600,2,177,79,171277000,2789
600,1,114,79,180730000,2713
600,2,122,79,144325000,2577
600,1,184,79,149468000,2445
600,1,93,79,175176000,2283
600,2,92,80,150506000,2216
600,2,165,82,154102000,1960
600,2,165,82,154102000,1960
600,2,151,83,172371000,1816
600,2,123,84,197554000,1746
600,1,195,84,189987000,1641
600,0,62,84,161629000,1531
600,2,166,84,214663000,1416
600,2,237,84,115187000,1321
600,1,74,84,167650000,1209
600,1,107,84,138195000,1081
600,1,107,84,138195000,1081
600,1,63,84,188421000,1020
600,1,57,84,142446000,891
600,1,57,84,142446000,891
600,1,165,86,135571000,797
