"_0","_1","_2","_3","_4","_5","_6","_7","_8","_9","_10","_11","_12","_13","_14","_15","_16","_17","_18","_19","_20","_21","_22","_23","_24","_25","_26","_27","_28","_29","_30","_31","_32","_33","_34","_35","_36"
"1.0","4.0","3.0","4.0","3.0","3.0","3.0","5.0","3.0","45.63636363636363","53.8","4.0","1.3333333333333333","1.0","2.0","4.0","3.0","3.0","0.2","2.0","1.0","8.0","0.6666666666666666","1006.6666666666666","1.6","81.0","0.0","55.0","352.4192708333333","3.0","0.3333333333333333","3.0","2.0","3.0","1.0","3.0","3.0"
"1.0","6.0","3.0","4.0","8.0","3.0","3.0","4.0","3.0","42.36363636363637","54.0","3.0","1.1666666666666667","2.0","3.0","3.0","3.0","4.0","0.2","340.0","2.0","3.0","2.0","1006.6666666666666","1.4285714285714286","108.0","0.0","47.0","567.7875","3.0","1.0","3.0","1.0","3.0","1.0","3.0","3.0"
"1.0","5.0","4.0","10.0","3.0","3.0","3.0","5.0","4.0","42.45454545454545","55.6","4.0","1.5555555555555556","2.0","2.6666666666666665","4.0","4.0","5.0","0.4","2.0","1.0","3.0","1.0","1008.3333333333334","1.3333333333333333","80.0","0.0","58.0","383.6036866359447","3.0","1.0","3.0","0.0","3.0","1.0","3.0","3.0"
"2.0","6.0","4.0","4.0","7.0","3.0","3.0","5.0","3.0","37.5","54.4","4.0","1.5","3.0","3.0","3.0","4.0","3.0","0.6","2.0","1.0","3.0","1.0","1006.6666666666666","1.1666666666666667","85.0","0.0","51.0","617.8776758409786","3.0","1.6666666666666667","3.0","1.0","3.0","1.0","3.0","3.0"
"1.0","11.0","4.0","4.0","8.0","3.0","3.0","5.0","3.0","40.35294117647059","54.6","3.0","1.2222222222222223","1.0","2.6666666666666665","3.0","4.0","3.0","0.2","2.0","1.0","3.0","1.0","1007.0","1.5","0.0","0.0","54.0","1079.2072072072071","3.0","1.0","4.0","1.0","3.0","1.0","3.0","4.0"
"1.0","5.0","3.0","4.0","2.0","4.0","3.0","5.0","3.0","35.46666666666667","54.6","3.0","1.3333333333333333","1.0","3.3333333333333335","3.0","4.0","3.0","0.8","2.0","1.0","3.0","1.0","1006.5","1.6666666666666667","86.0","0.0","52.0","297.136476426799","3.0","1.0","3.0","1.0","4.0","6.0","3.0","3.0"
"1.0","5.0","4.0","4.0","9.0","3.0","3.0","5.0","3.0","41.86666666666667","54.2","4.0","1.5555555555555556","1.0","2.6666666666666665","4.0","4.0","4.0","0.2","2.0","1.0","3.0","1.0","1006.6666666666666","1.3333333333333333","100.0","0.0","66.0","401.851598173516","3.0","0.6666666666666666","4.0","2.0","4.0","1.0","4.0","4.0"
"1.0","5.0","4.0","4.0","8.0","3.0","3.0","5.0","4.0","36.1875","53.2","4.0","1.3333333333333333","2.0","2.3333333333333335","4.0","4.0","3.0","0.4","2.0","2.0","3.0","1.0","1006.0","1.1666666666666667","93.0","0.0","47.0","909.0096618357488","3.0","1.0","5.0","1.0","3.0","1.0","3.0","3.0"
"1.0","5.0","4.0","3.0","3.0","3.0","4.0","5.0","3.0","44.8","54.6","10.0","1.3333333333333333","2.0","2.6666666666666665","3.0","4.0","4.0","0.6","2.0","2.0","3.0","1.0","1007.0","1.2","100.0","0.0","46.0","421.51376146788994","3.0","2.3333333333333335","4.0","2.0","4.0","1.0","3.0","3.0"
"1.0","5.0","4.0","4.0","8.0","3.0","3.0","5.0","4.0","41.81818181818182","56.8","4.0","1.2777777777777777","2.0","2.6666666666666665","3.0","4.0","3.0","0.2","2.0","1.0","4.0","1.0","1007.3333333333334","1.0","87.0","0.0","45.0","1216.6523929471032","3.0","1.0","4.0","0.0","3.0","1.0","4.0","3.0"
