load,cpu,memory,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim
0.283750003,0.32373333,0.41231666,0.065641667,0,0,5.00E-04,4.17E-05,0,0,0.004754167,2.50E-04,0.0024625,0,0,0.245487501,0,0,0.274016668,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.262083334,0.323099991,0.41291667,0.061666666,0,0,6.25E-04,0,0,0,0.002791667,2.92E-04,0.009666667,0,0,0.245129163,0,0,0.274783336,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.219166666,0.316966663,0.413500011,0.062670834,0,0,6.67E-04,0,0,0,0.002875,2.08E-04,0.00225,0,0,0.245362503,0,0,0.275300001,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.257916662,0.328966677,0.413516675,0.0677375,0,0,6.25E-04,4.17E-05,0,0,0.004333333,2.92E-04,0.007354167,0,0,0.245270833,0,0,0.275333335,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.226666667,0.30946667,0.413433333,0.051404167,0,0,5.83E-04,0,0,0,0.004254167,2.92E-04,0.002,0,0,0.2472,0,0,0.275316668,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.233333334,0.333883335,0.413466672,0.068704167,0,0,6.25E-04,0,0,0,0.002875,2.92E-04,0.0080875,0,0,0.245545834,0,0,0.275350002,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.261249999,0.322649995,0.413500011,0.066758333,0,0,7.08E-04,0,0,0,0.00425,2.08E-04,0.0025,0,0,0.244829168,0,0,0.275366669,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.270833331,0.32645,0.413516675,0.066704167,0,0,7.50E-04,4.17E-05,0,0,0.003916667,2.08E-04,0.007379167,0,0,0.244595836,0,0,0.275400003,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.282499999,0.323483328,0.413516675,0.0681125,0,0,5.83E-04,0,0,0,0.00395,3.33E-04,0.002329167,0,0,0.244791667,0,0,0.275500004,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.494166662,0.409566671,0.413566669,0.063320834,0,0,6.71E-04,4.17E-05,0,0,0.00405,2.08E-04,0.007966667,0,0,0.244945834,0,0,0.27556667,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.587499986,0.47283333,0.413550004,0.055545834,8.33E-05,0,6.67E-04,0,0.001125,0,0.003629167,2.08E-04,0.002166667,0,0,0.245720834,0,0,0.275516671,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.556250001,0.419400004,0.413516675,0.061795834,0,0,5.83E-04,0,1.25E-04,0,0.00275,2.92E-04,0.007458333,0,0,0.245033334,0,0,0.275500004,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.386249994,0.316683332,0.41353334,0.060958333,0,0,7.50E-04,4.17E-05,0.00125,0,0.002875,4.17E-04,0.002125,0,0,0.24583333,0,0,0.275500004,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.301250003,0.315633327,0.413599998,0.055466668,0,0,5.42E-04,0,0,0,0.003541667,2.92E-04,0.006958333,0,0,0.245633334,0,0,0.275583336,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.318333333,0.393250008,0.413650006,0.0600125,1.25E-04,0,5.42E-04,0,8.71E-04,0,0.003954167,2.50E-04,0.002120833,0,0,0.245266668,0,2.50E-04,0.275600002,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,2.00E-04,0,1.00E-04,0,3.00E-04
0.366249998,0.319400003,0.413583333,0.058966667,0,0,5.42E-04,4.17E-05,0,0,0.003545833,2.08E-04,0.007166667,0,0,0.245633336,0,0,0.275600002,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.282083335,0.319433351,0.413616672,0.0595125,4.17E-05,0,6.25E-04,0,0,0,0.005629167,2.08E-04,0.002333333,0,0,0.246383332,0,0,0.275600002,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,3.00E-04
0.503333338,0.540499997,0.41368334,0.058016666,1.67E-04,0,4.17E-04,0,2.08E-04,0,0.0032125,2.08E-04,0.0072125,0,0,0.246183331,0,0,0.275616669,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,3.00E-04
0.418333332,0.3301,0.414500003,0.054245833,0,0,5.42E-04,0,0,0,0.002833333,2.92E-04,0.002125,0,0,0.2463625,0,0,0.275716671,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0033,0.0043,1.00E-04,0,0
0.352083335,0.42233334,0.415983334,0.057795833,8.33E-05,0,6.25E-04,4.17E-05,4.17E-04,0,0.003,2.08E-04,0.006920834,0.175008336,0.03375,0.244841665,0,0,0.275700004,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.002966667,0.00445,1.00E-04,0,6.00E-04
0.325416664,0.326233337,0.416183338,0.0674125,0,8.33E-05,6.25E-04,0,0,0,0.003041667,2.92E-04,0.002583333,0.004333333,0.001416667,0.245412501,0,0,0.275733338,0.0018,2.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.004366667,0.003733333,1.00E-04,0,0
0.227083335,0.322566668,0.419183334,0.05325,0,1.25E-04,5.83E-04,0,0,0,0.002875,3.33E-04,0.00725,0.008208333,0.001541667,0.245941664,0,0,0.275783339,0.0018,2.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0044,0.0042,1.00E-04,0,0
0.588333331,0.51005,0.419233332,0.054233334,0,1.67E-04,7.46E-04,4.17E-05,0,0,0.004829167,2.50E-04,0.0022875,0.0132375,0.0027375,0.245304167,0,0,0.275716671,0.0018,2.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0044,0.00425,1.00E-04,0,0
0.457500006,0.332083344,0.41929999,0.053416667,0,1.25E-04,5.42E-04,0,0,0,0.00405,3.75E-04,0.008420834,0.012025,0.002545833,0.245425001,0,0,0.275700004,0.0018,2.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0044,0.0043,1.00E-04,0,0
0.266666666,0.330216656,0.419316659,0.061774999,0,1.25E-04,6.67E-04,0,0,0,0.00425,2.50E-04,0.002125,0.010833334,0.001954167,0.244775002,0,0,0.275716671,0.0018,2.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0044,0.0043,1.00E-04,0,0
0.204999998,0.320516666,0.419366668,0.049583334,0,1.67E-04,5.00E-04,0,0,0,0.003041667,2.50E-04,0.007083333,0.008708333,0.002208333,0.246004169,0,0,0.275766672,0.0018,2.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.004466667,0.004366667,1.00E-04,0,0
0.232916666,0.321116656,0.419383332,0.051945834,4.17E-05,1.25E-04,5.83E-04,4.17E-05,0,0,0.003041667,2.08E-04,0.002166667,0.010620833,0.001916667,0.246379164,0,0,0.275900002,0.0018,2.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0045,0.0044,1.00E-04,0,3.00E-04
0.188333333,0.34558334,0.422083338,0.055245833,8.33E-05,1.88E-04,6.25E-04,0,0,0,0.003,2.08E-04,0.007129167,0.028141667,0.006916667,0.244662498,0,0,0.276000002,0.0018,4.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0067,0.0086,1.00E-04,0,3.00E-04
0.24916667,0.365366658,0.423783327,0.0675125,0,3.33E-04,7.92E-04,0,0,0,0.005208333,3.33E-04,0.002591667,0.032641667,0.0079,0.244079165,0,0,0.276000002,0.0018,4.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0067,0.0088,1.00E-04,0,0
0.207083332,0.364883333,0.423966671,0.059554167,1.25E-04,4.17E-04,6.21E-04,4.17E-05,0,0,0.003958333,2.08E-04,0.007204167,0.035045833,0.007879167,0.244670838,0,1.25E-04,0.276000002,0.0018,4.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.006783334,0.008833333,1.00E-04,0,6.00E-04
0.160416665,0.368966669,0.424083332,0.061725,1.25E-04,3.75E-04,6.21E-04,0,0,0,0.0042,2.50E-04,0.002204167,0.040775,0.009241667,0.244712499,0,2.50E-04,0.276000002,0.0018,4.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0068,0.009,1.00E-04,0,3.00E-04
0.151666669,0.375166674,0.428216666,0.061620833,4.17E-05,3.75E-04,7.08E-04,4.17E-05,0,0,0.003966667,2.92E-04,0.0074125,0.0383125,0.010008333,0.242275,0,0,0.276000002,0.0018,6.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.009,0.01335,1.00E-04,0,0
0.427916666,0.481816664,0.429333339,0.061629167,4.17E-05,5.83E-04,6.25E-04,0,0,0,0.003741667,3.33E-04,0.002370833,0.070029167,0.019733333,0.240712501,0,0,0.276000002,0.0018,8.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.012283334,0.0179,1.00E-04,0,3.00E-04
0.387499998,0.396200001,0.432933336,0.053891667,0,5.42E-04,7.50E-04,0,0,0,0.0054625,2.08E-04,0.007316667,0.067258334,0.0215375,0.235241666,0,0,0.276000002,0.0011,8.00E-04,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0113,0.018433333,1.00E-04,0,0
0.324583337,0.413433333,0.435883328,0.059541667,8.33E-05,7.50E-04,5.88E-04,4.17E-05,4.58E-04,1.25E-04,0.00525,2.08E-04,0.002079167,0.080608334,0.02598125,0.234037501,0,0,0.275916667,0.0011,1.00E-03,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.014583334,0.023108333,1.00E-04,0,0
0.40125,0.495150005,0.438266665,0.0562125,8.33E-05,0.001,6.29E-04,0,0,0,0.006804167,3.33E-04,0.006920833,0.148170833,0.050695834,0.218754165,0,0,0.275866666,0.0011,1.00E-03,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0137,0.023933334,1.00E-04,0,3.00E-04
0.547083343,0.561033333,0.443266665,0.050833334,0,0.001041667,6.67E-04,0,0,1.67E-04,0.0040875,3.33E-04,0.002458333,0.136645834,0.047995833,0.219204165,0,0,0.275799998,0.0011,0.0012,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.0159,0.0292,1.00E-04,0,0
0.769999991,0.511183336,0.444783335,0.054708334,0,0.001125,5.88E-04,0,0,8.33E-05,0.004045833,2.08E-04,0.002004167,0.171654167,0.061645833,0.211366668,0,0,0.275816665,0.0011,0.0012,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.016033334,0.0306,1.00E-04,0,0
0.751249999,0.491149997,0.446183329,0.054329167,4.17E-05,0.001041667,6.25E-04,4.17E-05,0,4.17E-05,0.003125,4.17E-04,0.007166666,0.150858334,0.056375,0.213912499,0,0,0.275816665,0.0011,0.0012,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.016,0.032,1.00E-04,0,0
0.973333329,0.621500005,0.447216665,0.054441667,0,0.001083333,6.25E-04,0,0,4.17E-05,0.004041667,4.58E-04,0.002125,0.143558334,0.0526875,0.216575002,0,0,0.275799998,0.0011,0.0012,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0.016,0.0331,1.00E-04,0,0
