timestamp,value
233,"1487359787164	1"
234,"1487360087172	0"
235,"1487360387189	1"
236,"1487360687189	1"
237,"1487360987202	0"
238,"1487361287533	0"
239,"1487361587222	1"
240,"1487361887226	0"
241,"1487362187231	0"
242,"1487362487239	0"
243,"1487362787247	0"
244,"1487363087256	0"
245,"1487363387265	0"
246,"1487363687273	0"
247,"1487363987284	1"
248,"1487364287290	0"
249,"1487364587297	0"
250,"1487364887306	0"
251,"1487365187315	0"
252,"1487365487322	0"
253,"1487365787334	0"
254,"1487366087342	0"
255,"1487366387348	0"
256,"1487366687357	0"
257,"1487366987365	0"
258,"1487367287373	0"
259,"1487367587380	0"
260,"1487367887390	0"
261,"1487368187401	1"
262,"1487368487406	1"
263,"1487368787415	0"
264,"1487369087426	0"
265,"1487369387432	0"
266,"1487369687439	0"
267,"1487369987448	0"
268,"1487370287457	0"
269,"1487370587469	0"
270,"1487370887475	0"
271,"1487371187483	0"
272,"1487371487495	0"
273,"1487371787498	0"
274,"1487372087809	0"
275,"1487372387516	0"
276,"1487372687523	0"
277,"1487372987531	0"
278,"1487373287539	0"
279,"1487373587548	0"
280,"1487373887559	0"
281,"1487374187564	0"
282,"1487374487574	0"
283,"1487374787581	0"
284,"1487375087590	0"
285,"1487375387611	0"
286,"1487375687606	0"
287,"1487375987618	0"
288,"1487376287624	1"
289,"1487376587632	0"
290,"1487376887641	1"
291,"1487377187668	5"
292,"1487377487659	1"
293,"1487377787665	1"
294,"1487378087693	2"
295,"1487378387681	1"
296,"1487378687693	1"
297,"1487378987701	1"
298,"1487379287707	1"
299,"1487379587715	1"
300,"1487379888032	1"
301,"1487380187738	3"
302,"1487380487755	1"
303,"1487380787748	1"
304,"1487381087757	3"
305,"1487381387765	1"
306,"1487381687790	1"
307,"1487381987794	2"
308,"1487382287804	1"
309,"1487382587799	0"
310,"1487382887812	2"
311,"1487383187814	1"
312,"1487383487829	1"
313,"1487383787839	0"
314,"1487384087840	1"
315,"1487384387870	1"
316,"1487384687865	1"
317,"1487384987868	4"
318,"1487385287877	5"
319,"1487385587881	3"
320,"1487385887919	6"
321,"1487386187903	3"
322,"1487386487909	2"
323,"1487386787916	2"
324,"1487387087930	1"
325,"1487387387933	2"
326,"1487387687942	3"
327,"1487387987952	3"
328,"1487388287956	4"
329,"1487388587968	4"
330,"1487388887975	2"
331,"1487389187982	3"
332,"1487389487994	4"
333,"1487389787999	3"
334,"1487390088008	2"
335,"1487390388022	1"
336,"1487390688026	3"
337,"1487390988037	5"
338,"1487391288045	2"
339,"1487391588057	4"
340,"1487391888058	3"
341,"1487392188067	4"
342,"1487392488098	1"
343,"1487392788109	1"
344,"1487393088095	2"
345,"1487393388101	2"
346,"1487393688108	1"
347,"1487393988119	0"
348,"1487394288125	2"
349,"1487394588132	8"
350,"1487394888141	3"
351,"1487395188148	4"
352,"1487395488157	7"
353,"1487395788165	3"
354,"1487396088175	3"
355,"1487396388192	4"
356,"1487396688190	11"
357,"1487396988238	2"
358,"1487397288209	1"
359,"1487397588219	3"
360,"1487397888226	3"
361,"1487398188232	5"
362,"1487398488241	2"
363,"1487398788251	2"
364,"1487399088262	2"
365,"1487399388267	3"
366,"1487399688274	3"
367,"1487399988309	4"
368,"1487400288295	2"
369,"1487400588327	3"
370,"1487400888324	4"
371,"1487401188315	2"
372,"1487401489539	2"
373,"1487401788341	4"
374,"1487402088342	3"
375,"1487402388352	3"
376,"1487402688372	2"
377,"1487402988373	4"
378,"1487403288409	4"
379,"1487403588383	2"
380,"1487403888398	2"
381,"1487404188407	4"
382,"1487404488415	4"
383,"1487404788417	2"
384,"1487405088425	4"
385,"1487405388433	6"
386,"1487405688442	3"
387,"1487405988481	2"
388,"1487406288460	4"
389,"1487406588469	3"
390,"1487406888479	3"
391,"1487407188501	3"
392,"1487407488493	3"
393,"1487407788500	2"
394,"1487408088510	2"
395,"1487408388524	3"
396,"1487408688530	5"
397,"1487408988532	6"
398,"1487409288541	3"
399,"1487409588550	5"
400,"1487409888558	3"
401,"1487410188566	3"
402,"1487410488591	3"
403,"1487410788583	5"
404,"1487411088635	3"
405,"1487411388611	4"
406,"1487411688609	3"
407,"1487411988622	2"
408,"1487412288625	3"
409,"1487412588633	5"
410,"1487412888641	0"
411,"1487413188658	2"
412,"1487413488657	3"
413,"1487413788670	1"
414,"1487414088681	2"
415,"1487414388683	3"
416,"1487414688692	2"
417,"1487414988700	4"
418,"1487415288721	2"
419,"1487415588721	5"
420,"1487415888748	1"
421,"1487416188775	3"
422,"1487416488745	2"
423,"1487416788750	2"
424,"1487417088759	2"
425,"1487417388767	1"
426,"1487417688775	3"
427,"1487417988794	4"
428,"1487418288792	3"
429,"1487418588803	3"
430,"1487418888849	1"
431,"1487419188861	4"
432,"1487419488877	2"
433,"1487419788874	5"
434,"1487420088848	3"
435,"1487420388900	5"
436,"1487420688861	2"
437,"1487420988874	2"
438,"1487421288875	5"
439,"1487421588883	2"
440,"1487421888894	3"
441,"1487422188904	3"
442,"1487422488918	4"
443,"1487422788920	3"
444,"1487423088926	3"
445,"1487423388934	8"
446,"1487423688943	3"
447,"1487423988950	4"
448,"1487424288960	5"
449,"1487424588974	2"
450,"1487424888980	1"
451,"1487425188986	2"
452,"1487425488994	6"
453,"1487425789002	3"
454,"1487426089009	2"
455,"1487426389300	-1"
456,"1487426689028	57"
457,"1487426989034	47"
458,"1487427293748	-1"
459,"1487427589054	-1"
460,"1487427889059	63"
461,"1487428189069	2"
462,"1487428489077	2"
463,"1487428789092	45"
464,"1487429089100	48"
465,"1487429389101	0"
466,"1487429689110	4"
467,"1487429989117	2"
468,"1487430289127	6"
469,"1487430589144	4"
470,"1487430889142	5"
471,"1487431189151	6"
472,"1487431489160	7"
473,"1487431789169	3"
474,"1487432089476	2"
475,"1487432389184	2"
476,"1487432689191	3"
477,"1487432989200	2"
478,"1487433289210	2"
479,"1487433589220	1"
480,"1487433889225	2"
481,"1487434189233	2"
482,"1487434489244	2"
483,"1487434789250	2"
484,"1487435089262	2"
485,"1487435389265	1"
486,"1487435689275	1"
487,"1487435989289	0"
488,"1487436289293	3"
489,"1487436589303	2"
490,"1487436889309	2"
491,"1487437189638	2"
492,"1487437489329	3"
493,"1487437789333	2"
494,"1487438089342	1"
495,"1487438389353	1"
496,"1487438689362	3"
497,"1487438989366	2"
498,"1487439289379	2"
499,"1487439589388	2"
500,"1487439889399	1"
501,"1487440189403	0"
502,"1487440489411	0"
503,"1487440789417	0"
504,"1487441089427	1"
505,"1487441389434	1"
506,"1487441689443	0"
507,"1487441989451	0"
508,"1487442289460	0"
509,"1487442589468	1"
510,"1487442889475	1"
511,"1487443189484	0"
512,"1487443489492	0"
513,"1487443789499	0"
514,"1487444089510	0"
515,"1487444389520	1"
516,"1487444689530	0"
517,"1487444989534	1"
518,"1487445289545	1"
519,"1487445589551	1"
520,"1487445889559	1"
521,"1487446189567	2"
522,"1487446489577	1"
523,"1487446789583	1"
524,"1487447089596	0"
525,"1487447389601	0"
526,"1487447689608	0"
527,"1487447989617	0"
528,"1487448289630	0"
529,"1487448589635	1"
530,"1487448889644	0"
531,"1487449189653	0"
532,"1487449489675	1"
533,"1487449789672	0"
534,"1487450089676	0"
535,"1487450389705	0"
536,"1487450689706	0"
537,"1487450989701	0"
538,"1487451289710	0"
539,"1487451589720	0"
540,"1487451889729	0"
541,"1487452189733	0"
542,"1487452489742	1"
543,"1487452789785	0"
544,"1487453089782	0"
545,"1487453389770	0"
546,"1487453689780	0"
547,"1487453989902	0"
548,"1487454289800	0"
549,"1487454589800	0"
550,"1487454889810	1"
551,"1487455189866	0"
552,"1487455489843	1"
553,"1487455789834	1"
554,"1487456089843	0"
555,"1487456389851	0"
556,"1487456689860	0"
557,"1487456989867	0"
558,"1487457289878	0"
559,"1487457589884	0"
560,"1487457889897	0"
561,"1487458189900	1"
562,"1487458489909	0"
563,"1487458789918	0"
564,"1487459089977	0"
565,"1487459389953	1"
566,"1487459689944	1"
567,"1487459989955	1"
568,"1487460289960	1"
569,"1487460589979	1"
570,"1487460889977	1"
571,"1487461189989	1"
572,"1487461489997	1"
573,"1487461790000	0"
574,"1487462090010	1"
575,"1487462390018	1"
576,"1487462690029	1"
577,"1487462990036	1"
578,"1487463290047	1"
579,"1487463590052	6"
580,"1487463890064	1"
581,"1487464190093	1"
582,"1487464490096	0"
583,"1487464790105	1"
584,"1487465090106	1"
585,"1487465390103	1"
586,"1487465690127	0"
587,"1487465990123	0"
588,"1487466290130	0"
589,"1487466590138	2"
590,"1487466890146	1"
591,"1487467190153	1"
592,"1487467490181	1"
593,"1487467790169	1"
